x1,y1,x2,y2,x3,y3,x4,y4,oob_distance
10.0,10.0,5.0,53.0,183.0,274.0,291.0,246.0,0.7333428842175671
10.0,10.0,5.0,53.0,183.0,274.0,291.0,246.0,0.7331263139067321
10.0,10.0,5.0,53.0,183.0,274.0,291.0,246.0,0.7331513734727559
10.0,10.0,5.0,53.0,183.0,274.0,291.0,246.0,0.7324155247782298
10.0,10.0,5.0,53.0,183.0,274.0,291.0,246.0,0.7321799548686898
10.0,10.0,5.0,53.0,183.0,274.0,291.0,246.0,0.7319583864457091
10.0,10.0,5.0,53.0,183.0,274.0,291.0,246.0,0.7320900091031373
10.0,10.0,5.0,53.0,183.0,274.0,291.0,246.0,0.733472730448129
10.0,10.0,5.0,53.0,183.0,274.0,291.0,246.0,0.7322835691141667
10.0,10.0,5.0,53.0,183.0,274.0,291.0,246.0,0.732754728877542
10.0,10.0,5.0,68.0,122.0,287.0,257.0,174.0,0.5431204271613868
10.0,10.0,5.0,68.0,122.0,287.0,257.0,174.0,0.5433710326218091
10.0,10.0,5.0,68.0,122.0,287.0,257.0,174.0,0.5441399132578875
10.0,10.0,5.0,68.0,122.0,287.0,257.0,174.0,0.5442389070828135
10.0,10.0,5.0,68.0,122.0,287.0,257.0,174.0,0.5442236411438219
10.0,10.0,5.0,68.0,122.0,287.0,257.0,174.0,0.5413517313721887
10.0,10.0,5.0,68.0,122.0,287.0,257.0,174.0,0.542175549580155
10.0,10.0,5.0,68.0,122.0,287.0,257.0,174.0,0.5418619826108082
10.0,10.0,5.0,68.0,122.0,287.0,257.0,174.0,0.543545334729286
10.0,10.0,5.0,68.0,122.0,287.0,257.0,174.0,0.5409918969445062
10.0,10.0,7.0,38.0,108.0,278.0,204.0,136.0,0.3608318330534097
10.0,10.0,7.0,38.0,108.0,278.0,204.0,136.0,0.36035101440665684
10.0,10.0,7.0,38.0,108.0,278.0,204.0,136.0,0.3602237689841794
10.0,10.0,7.0,38.0,108.0,278.0,204.0,136.0,0.36169331488042444
10.0,10.0,7.0,38.0,108.0,278.0,204.0,136.0,0.36020856925292466
10.0,10.0,7.0,38.0,108.0,278.0,204.0,136.0,0.35991678786758285
10.0,10.0,7.0,38.0,108.0,278.0,204.0,136.0,0.3596746932242525
10.0,10.0,7.0,38.0,108.0,278.0,204.0,136.0,0.36094926358549806
10.0,10.0,7.0,38.0,108.0,278.0,204.0,136.0,0.36009343321011
10.0,10.0,7.0,38.0,108.0,278.0,204.0,136.0,0.36065987579354597
10.0,10.0,7.0,109.0,39.0,276.0,141.0,261.0,0.34870700597037696
10.0,10.0,7.0,109.0,39.0,276.0,141.0,261.0,0.3426055132756507
10.0,10.0,7.0,109.0,39.0,276.0,141.0,261.0,0.3490176052294356
10.0,10.0,7.0,109.0,39.0,276.0,141.0,261.0,0.3485993014555242
10.0,10.0,7.0,109.0,39.0,276.0,141.0,261.0,0.3475681074591386
10.0,10.0,7.0,109.0,39.0,276.0,141.0,261.0,0.3470708009291448
10.0,10.0,7.0,109.0,39.0,276.0,141.0,261.0,0.34767967896710816
10.0,10.0,7.0,109.0,39.0,276.0,141.0,261.0,0.34695369759325767
10.0,10.0,7.0,109.0,39.0,276.0,141.0,261.0,0.3487423222583945
10.0,10.0,7.0,109.0,39.0,276.0,141.0,261.0,0.34735857044497753
10.0,10.0,8.0,30.0,28.0,193.0,171.0,171.0,0.3090175918648883
10.0,10.0,8.0,30.0,28.0,193.0,171.0,171.0,0.3094604614561227
10.0,10.0,8.0,30.0,28.0,193.0,171.0,171.0,0.30932264063721715
10.0,10.0,8.0,30.0,28.0,193.0,171.0,171.0,0.3085167403793634
10.0,10.0,8.0,30.0,28.0,193.0,171.0,171.0,0.3075572426975448
10.0,10.0,8.0,30.0,28.0,193.0,171.0,171.0,0.309544447342214
10.0,10.0,8.0,30.0,28.0,193.0,171.0,171.0,0.30801582135475325
10.0,10.0,8.0,30.0,28.0,193.0,171.0,171.0,0.30656279358040384
10.0,10.0,8.0,30.0,28.0,193.0,171.0,171.0,0.307506861171555
10.0,10.0,8.0,30.0,28.0,193.0,171.0,171.0,0.30654698018257553
10.0,10.0,8.0,121.0,14.0,192.0,135.0,122.0,-1.2574380869291701
10.0,10.0,8.0,121.0,14.0,192.0,135.0,122.0,-1.2597727581578155
10.0,10.0,8.0,121.0,14.0,192.0,135.0,122.0,-1.2593970029431212
10.0,10.0,8.0,121.0,14.0,192.0,135.0,122.0,-1.2599127593646102
10.0,10.0,8.0,121.0,14.0,192.0,135.0,122.0,-1.2591585273751744
10.0,10.0,8.0,121.0,14.0,192.0,135.0,122.0,-1.2581745364270742
10.0,10.0,8.0,121.0,14.0,192.0,135.0,122.0,-1.2576207303766331
10.0,10.0,8.0,121.0,14.0,192.0,135.0,122.0,-1.2583760590800095
10.0,10.0,8.0,121.0,14.0,192.0,135.0,122.0,-1.260587227513997
10.0,10.0,8.0,121.0,14.0,192.0,135.0,122.0,-1.261198918522087
10.0,10.0,9.0,50.0,195.0,109.0,216.0,47.0,0.47576067447256176
10.0,10.0,9.0,50.0,195.0,109.0,216.0,47.0,0.46526124441860217
10.0,10.0,9.0,50.0,195.0,109.0,216.0,47.0,0.46267592373178634
10.0,10.0,9.0,50.0,195.0,109.0,216.0,47.0,0.4789929123292005
10.0,10.0,9.0,50.0,195.0,109.0,216.0,47.0,0.47447159051223275
10.0,10.0,9.0,50.0,195.0,109.0,216.0,47.0,0.4628741306276254
10.0,10.0,9.0,50.0,195.0,109.0,216.0,47.0,0.4714894307339865
10.0,10.0,9.0,50.0,195.0,109.0,216.0,47.0,0.47461420458608394
10.0,10.0,9.0,50.0,195.0,109.0,216.0,47.0,0.47294307587694906
10.0,10.0,9.0,50.0,195.0,109.0,216.0,47.0,0.4672473337259444
10.0,10.0,10.0,71.0,209.0,201.0,294.0,105.0,0.7297100837050361
10.0,10.0,10.0,71.0,209.0,201.0,294.0,105.0,0.7276887946820609
10.0,10.0,10.0,71.0,209.0,201.0,294.0,105.0,0.729841459076713
10.0,10.0,10.0,71.0,209.0,201.0,294.0,105.0,0.7289421422750795
10.0,10.0,10.0,71.0,209.0,201.0,294.0,105.0,0.7294776636604408
10.0,10.0,10.0,71.0,209.0,201.0,294.0,105.0,0.7276364999677654
10.0,10.0,10.0,71.0,209.0,201.0,294.0,105.0,0.7302182418301046
10.0,10.0,10.0,71.0,209.0,201.0,294.0,105.0,0.7284534723212459
10.0,10.0,10.0,71.0,209.0,201.0,294.0,105.0,0.7316307348132718
10.0,10.0,10.0,71.0,209.0,201.0,294.0,105.0,0.7303070975819455
10.0,10.0,10.0,108.0,48.0,193.0,270.0,122.0,0.7458110479138773
10.0,10.0,10.0,108.0,48.0,193.0,270.0,122.0,0.7524514875867803
10.0,10.0,10.0,108.0,48.0,193.0,270.0,122.0,0.7466241603424448
10.0,10.0,10.0,108.0,48.0,193.0,270.0,122.0,0.7452776011413567
10.0,10.0,10.0,108.0,48.0,193.0,270.0,122.0,0.7500898002268188
10.0,10.0,10.0,108.0,48.0,193.0,270.0,122.0,0.7489017271804503
10.0,10.0,10.0,108.0,48.0,193.0,270.0,122.0,0.744066461680484
10.0,10.0,10.0,108.0,48.0,193.0,270.0,122.0,0.745419209014212
10.0,10.0,10.0,108.0,48.0,193.0,270.0,122.0,0.749693012498136
