RoadType,RoadID,ScenarioLength,VehicleFront,VehicleAdjacent,VehicleOpposite,VehicleFrontTwoWheeled,VehicleAdjacentTwoWheeled,VehicleOppositeTwoWheeled,TimeOfDay,Weather,NumberOfPeople,TargetSpeed,Trees,Buildings,Task,Delta_F0,Delta_F1,Delta_F2,Delta_F3,Y0,Y1,Y2,Y3,Y
0,0,0,0,0,0,0,1,0,1,6,1,3,1,1,0,0.042608695652173845,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,1,6,1,3,1,1,0,0.04852173913043467,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,1,4,1,1,0,0.026956521739130324,0.0,0.0,0.03873102374464776,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,0,1,4,1,1,0,0.03260869565217395,0.0,0.0,0.03873102374464776,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,0,1,4,1,1,0,0.0331304347826088,0.0,0.0,0.03873102374464776,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,0,1,4,1,1,0,0.0331304347826088,0.0,0.0,0.051187232386142534,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,0,1,4,1,1,0,0.033217391304347976,0.0,0.0,0.33904242896068515,0,0,0,1,1
0,0,0,0,0,0,1,0,1,1,1,0,2,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,2,2,1,2,1,1,0,0.003391304347826085,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,2,2,1,2,1,1,0,0.013826086956521877,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,2,2,1,2,1,1,0,0.0267826086956523,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,1,5,0,4,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,0,1,0,1,1,1,6,1,2,1,1,0,0.014869565217391467,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,0,1,0,1,1,1,6,1,2,1,1,0,0.03391304347826085,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,0,1,0,1,1,1,6,1,2,1,1,0,0.03408695652173899,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,0,1,0,1,1,1,6,1,2,1,1,0,0.03747826086956507,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,0,1,0,1,1,1,6,1,2,1,1,0,0.03843478260869582,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,0,1,0,1,1,1,6,1,2,1,1,0,0.03982608695652201,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,0,1,1,1,0,2,0,0,2,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,0,1,1,1,1,1,5,0,3,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,1,1,0,3,1,1,0,0.0,0.0,0.0,0.09673024523160756,0,0,0,1,1
0,0,0,0,1,0,0,0,0,2,6,0,4,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,2,2,0,2,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,1,0,0,0,1,2,6,0,2,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,1,0,0,1,1,0,0,0,2,1,1,0,0.0003478260869566041,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,1,0,0,1,1,0,0,0,2,1,1,0,0.006608695652174035,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,1,0,0,1,1,0,3,1,3,1,1,0,0.046782608695652206,0.0,0.0,0.03892565200467102,0,0,0,1,1
0,0,0,0,1,0,0,1,1,0,3,1,3,1,1,0,0.04956521739130437,0.0,0.0,0.06656286492798758,0,0,0,1,1
0,0,0,0,1,0,0,1,1,0,3,1,3,1,1,0,0.04956521739130437,0.0,0.0,0.09906578435188795,0,0,0,1,1
0,0,0,0,1,0,1,0,1,1,1,0,2,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,1,0,1,1,1,0,5,1,3,1,1,0,0.07886956521739141,0.0,0.0,0.06481121058777728,1,0,0,1,1
0,0,0,0,1,0,1,1,1,0,5,1,3,1,1,0,0.08808695652173903,0.0,0.0,0.06481121058777728,1,0,0,1,1
0,0,0,0,1,0,1,1,1,0,5,1,3,1,1,0,0.08808695652173903,0.0,0.0,0.0663682366679641,1,0,0,1,1
0,0,0,0,1,0,1,1,1,0,5,1,3,1,1,0,0.08808695652173903,0.0,0.0,0.36395484624367447,1,0,0,1,1
0,0,0,0,1,1,0,0,0,2,5,0,3,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,1,1,0,0,1,2,0,0,2,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,1,1,0,1,0,1,4,1,2,1,1,0,0.003913043478260936,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,1,1,0,1,0,1,4,1,2,1,1,0,0.011565217391304339,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,1,1,0,1,0,1,4,1,2,1,1,0,0.01313043478260878,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,1,1,0,1,0,1,4,1,2,1,1,0,0.03600000000000014,0.0,0.0,0.0,0,0,0,0,0
0,0,0,0,1,1,0,1,0,2,2,0,3,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0
