Weather1,Weather2,Weather3,Ego,NonEgo,Front,Back,Opposite,F0_0,F1_0,F2_0,F3_0,Y0,Y1,Y2,Y3,Y
0.0,1.0,21.0,23.0,17.0,1.0,2.0,2.0,0.2890331537827201,-65.80812377929688,0.0,0.0,0.0,1.0,0.0,0.0,1
0.0,16.0,99.0,20.0,29.0,3.0,3.0,2.0,0.289032687311587,-63.93307800292969,-1.0,0.0,0.0,0.0,0.0,0.0,0
0.0,40.0,51.0,7.0,6.0,3.0,3.0,0.0,0.2890395288882047,-61.56376953125,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,48.0,35.0,31.0,38.0,3.0,0.0,2.0,0.2890396843785824,-75.86926574707032,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,62.0,58.0,23.0,22.0,0.0,2.0,1.0,0.2890330501224682,-65.00392456054688,0.0,0.0,0.0,1.0,0.0,0.0,1
0.0,66.0,70.0,20.0,14.0,3.0,1.0,2.0,0.2890327909718388,-64.25870056152344,0.0,0.0,0.0,1.0,0.0,0.0,1
0.0,70.0,4.0,13.0,28.0,4.0,2.0,3.0,0.2890352788178816,-82.53897399902344,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,83.0,32.0,25.0,33.0,3.0,3.0,3.0,0.2890360044396441,-80.07314605712891,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,1.0,29.0,6.0,17.0,4.0,1.0,2.0,0.2890282299207604,-84.21302337646485,0.0,0.0,0.0,0.0,1.0,0.0,1
1.0,4.0,9.0,18.0,19.0,0.0,0.0,2.0,0.2890280226002568,-68.0016357421875,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,14.0,98.0,20.0,29.0,3.0,3.0,2.0,0.2890324281609576,-64.50158996582032,-26.0,0.0,0.0,0.0,0.0,0.0,0
1.0,22.0,19.0,17.0,5.0,3.0,0.0,1.0,0.2890387514363164,-63.84973449707032,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,25.0,78.0,7.0,35.0,1.0,2.0,0.0,0.2890396843785824,-61.308047485351565,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,45.0,54.0,1.0,37.0,1.0,3.0,1.0,0.2890348641768745,-62.77953643798829,-2291.0,0.0,0.0,0.0,1.0,0.0,1
1.0,47.0,4.0,24.0,28.0,0.0,3.0,2.0,0.1519937307938285,-57.09094543457032,-530.0,0.0,0.0,0.0,0.0,0.0,0
1.0,48.0,70.0,26.0,22.0,4.0,3.0,0.0,0.2890360044396441,-82.3690673828125,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,53.0,93.0,17.0,24.0,1.0,2.0,1.0,0.2890383367953092,-66.17223663330078,0.0,0.0,0.0,1.0,0.0,0.0,1
1.0,55.0,94.0,5.0,20.0,2.0,1.0,2.0,0.2890352788178816,-62.46863098144532,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,81.0,7.0,8.0,9.0,0.0,3.0,3.0,0.2890338794044825,-62.577334594726565,0.0,0.0,0.0,1.0,0.0,0.0,1
2.0,12.0,52.0,14.0,29.0,1.0,2.0,1.0,0.2890357452890146,-63.16849822998047,0.0,0.0,0.0,1.0,0.0,0.0,1
2.0,21.0,63.0,19.0,29.0,1.0,2.0,0.0,0.289035123327504,-62.71068878173829,0.0,0.0,0.0,0.0,1.0,0.0,1
2.0,44.0,52.0,1.0,37.0,1.0,3.0,1.0,0.2890349160070004,-63.43920440673829,0.0,0.0,0.0,0.0,1.0,0.0,1
2.0,53.0,35.0,15.0,23.0,3.0,1.0,1.0,0.2890352788178816,-77.79193420410157,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,69.0,33.0,2.0,8.0,3.0,3.0,0.0,0.2890374038530432,-65.72227783203125,0.0,0.0,0.0,0.0,0.0,0.0,0
2.0,71.0,24.0,7.0,4.0,1.0,1.0,1.0,0.2890395288882047,-62.66916961669922,0.0,0.0,0.0,1.0,0.0,0.0,1
2.0,98.0,7.0,31.0,32.0,4.0,2.0,0.0,0.2890396843785824,-83.8778564453125,0.0,0.0,0.0,0.0,0.0,0.0,0
3.0,21.0,20.0,17.0,5.0,3.0,0.0,1.0,0.2890385441158128,-83.53405303955078,0.0,0.0,0.0,0.0,0.0,0.0,0
3.0,27.0,59.0,2.0,14.0,2.0,1.0,0.0,0.2890374038530432,-64.48184509277344,0.0,0.0,0.0,0.0,0.0,0.0,0
3.0,40.0,17.0,27.0,20.0,3.0,0.0,0.0,0.2890249646228292,-67.47882385253907,0.0,0.0,0.0,1.0,0.0,0.0,1
3.0,42.0,62.0,12.0,38.0,0.0,1.0,2.0,0.2890334129333496,-61.80082244873047,0.0,0.0,0.0,0.0,0.0,0.0,0
3.0,43.0,36.0,36.0,37.0,4.0,3.0,0.0,0.2890300439751666,-81.41477508544922,-3.0,0.0,0.0,0.0,0.0,0.0,0
3.0,84.0,95.0,1.0,36.0,0.0,0.0,2.0,0.2890350196672522,-64.22418518066407,0.0,0.0,0.0,0.0,0.0,0.0,0
4.0,4.0,98.0,10.0,12.0,1.0,2.0,2.0,-0.2615662035734758,-63.249072265625,0.0,0.0,1.0,0.0,0.0,0.0,1
4.0,12.0,5.0,3.0,13.0,2.0,2.0,0.0,0.2890453856924305,-70.69768829345703,0.0,0.0,0.0,0.0,1.0,0.0,1
4.0,22.0,56.0,38.0,25.0,3.0,0.0,2.0,0.2890356934588888,-63.5677978515625,0.0,0.0,0.0,1.0,0.0,0.0,1
4.0,23.0,93.0,8.0,0.0,2.0,0.0,1.0,0.2890341903852379,-61.49739379882813,0.0,0.0,0.0,1.0,0.0,0.0,1
4.0,24.0,95.0,8.0,0.0,2.0,0.0,1.0,0.2890344495358674,-61.673701477050784,0.0,0.0,0.0,1.0,0.0,0.0,1
4.0,36.0,83.0,25.0,9.0,0.0,2.0,0.0,0.2890358489492665,-62.453128051757815,0.0,0.0,0.0,1.0,0.0,0.0,1
4.0,38.0,63.0,31.0,21.0,4.0,3.0,1.0,0.2890408764714779,-80.93145294189453,-1625.0,0.0,0.0,0.0,1.0,0.0,1
4.0,48.0,86.0,34.0,17.0,1.0,2.0,0.0,0.2890329982923424,-63.51265258789063,0.0,0.0,0.0,1.0,0.0,0.0,1
