Method,Input,Precision,Recall,F1
 Random Forest,With delta fitnesses w\o blueprints,0.9988751406074241,0.9823008849557522,0.9905186837702176
 Random Forest,With delta fitnesses w\o weather,0.9988726042841037,0.9800884955752213,0.989391401451703
Decision Tree,With delta fitnesses,0.9889380530973452,0.9889380530973452,0.9889380530973452
Decision Tree,With delta fitnesses w\o weather,0.9889380530973452,0.9889380530973452,0.9889380530973452
Decision Tree,With delta fitnesses w\o blueprints,0.9889380530973452,0.9889380530973452,0.9889380530973452
Decision Tree,"With delta fitnesses w\o weather, blueprints",0.9889380530973452,0.9889380530973452,0.9889380530973452
 Random Forest,"With delta fitnesses w\o weather, blueprints",0.9988700564971752,0.9778761061946902,0.9882615986584684
 Random Forest,With delta fitnesses,0.9988662131519275,0.9745575221238938,0.9865621500559911
MLP,"With delta fitnesses w\o weather, blueprints",0.9954853273137697,0.9756637168141593,0.9854748603351956
MLP,With delta fitnesses w\o blueprints,0.996594778660613,0.9712389380530974,0.9837535014005603
MLP,With delta fitnesses,0.994343891402715,0.9723451327433629,0.9832214765100672
MLP,With delta fitnesses w\o weather,0.9965831435079726,0.9679203539823009,0.9820426487093153
 Random Forest,With 1 set of fitnesses w\o weather,1.0,0.9640287769784173,0.9816849816849816
 Random Forest,With 1 set of fitnesses,1.0,0.9568345323741008,0.9779411764705883
 Random Forest,With 1 set of fitnesses w\o blueprints,1.0,0.9568345323741008,0.9779411764705883
 Random Forest,"With 1 set of fitnesses w\o weather, blueprints",1.0,0.9568345323741008,0.9779411764705883
Decision Tree,With 1 set of fitnesses,1.0,0.9424460431654677,0.9703703703703704
Decision Tree,With 1 set of fitnesses w\o weather,1.0,0.9424460431654677,0.9703703703703704
Decision Tree,"With 1 set of fitnesses w\o weather, blueprints",1.0,0.9424460431654677,0.9703703703703704
Decision Tree,With 1 set of fitnesses w\o blueprints,1.0,0.9424460431654677,0.9703703703703704
SVM,With delta fitnesses,0.9976303317535545,0.9314159292035398,0.9633867276887872
SVM,With delta fitnesses w\o weather,0.9976303317535545,0.9314159292035398,0.9633867276887872
SVM,With delta fitnesses w\o blueprints,0.9976303317535545,0.9314159292035398,0.9633867276887872
SVM,"With delta fitnesses w\o weather, blueprints",0.9976303317535545,0.9314159292035398,0.9633867276887872
MLP,"With 1 set of fitnesses w\o weather, blueprints",0.9534883720930233,0.8848920863309353,0.917910447761194
MLP,With 1 set of fitnesses w\o weather,0.9142857142857143,0.920863309352518,0.917562724014337
MLP,With 1 set of fitnesses w\o blueprints,0.9915966386554622,0.8489208633093526,0.9147286821705427
MLP,With 1 set of fitnesses,0.9752066115702479,0.8489208633093526,0.9076923076923077
SVM,With 1 set of fitnesses w\o weather,1.0,0.8273381294964028,0.905511811023622
SVM,With 1 set of fitnesses w\o blueprints,1.0,0.8273381294964028,0.905511811023622
SVM,"With 1 set of fitnesses w\o weather, blueprints",1.0,0.8273381294964028,0.905511811023622
SVM,With 1 set of fitnesses,1.0,0.8273381294964028,0.905511811023622
