Method,Input,Precision,Recall,F1
MLP,With delta fitnesses,0.9547038327526133,0.899736147757256,0.8472222222222222
 Random Forest,With delta fitnesses w\o blueprints,0.995475113122172,0.6068601583113457,0.7516339869281046
 Random Forest,With delta fitnesses,0.9956140350877193,0.604221635883905,0.748768472906404
Decision Tree,"With delta fitnesses w\o weather, blueprints",0.9954337899543378,0.6174142480211082,0.7428571428571428
 Random Forest,With delta fitnesses w\o weather,1.0,0.5910290237467019,0.7417218543046357
 Random Forest,"With delta fitnesses w\o weather, blueprints",0.9955357142857143,0.5883905013192612,0.7396351575456052
MLP,With delta fitnesses w\o weather,0.8560885608856088,0.7889182058047494,0.738544474393531
Decision Tree,With delta fitnesses w\o weather,1.0,0.5778364116094987,0.7324414715719064
Decision Tree,With delta fitnesses,0.9954545454545455,0.5778364116094987,0.7312186978297163
Decision Tree,With delta fitnesses w\o blueprints,0.9954337899543378,0.575197889182058,0.7290969899665551
MLP,With delta fitnesses w\o blueprints,0.8816793893129771,0.6939313984168866,0.7207488299531981
MLP,"With delta fitnesses w\o weather, blueprints",0.9,0.6279683377308707,0.7031019202363369
Decision Tree,With 1 set of fitnesses w\o weather,0.6538461538461539,0.7558139534883721,0.6770833333333334
Decision Tree,With 1 set of fitnesses,0.6296296296296297,0.7558139534883721,0.6770833333333334
SVM,With delta fitnesses w\o weather,0.9842105263157894,0.49340369393139843,0.6572934973637962
SVM,"With delta fitnesses w\o weather, blueprints",0.9841269841269841,0.49076517150395776,0.6549295774647887
SVM,With delta fitnesses,0.9841269841269841,0.49076517150395776,0.6549295774647887
SVM,With delta fitnesses w\o blueprints,0.9841269841269841,0.49076517150395776,0.6549295774647887
MLP,With 1 set of fitnesses w\o weather,0.9,0.872093023255814,0.6329113924050633
MLP,With 1 set of fitnesses,0.5833333333333334,0.8372093023255814,0.6306306306306305
 Random Forest,With 1 set of fitnesses,0.6617647058823529,0.6162790697674418,0.6235294117647059
MLP,"With 1 set of fitnesses w\o weather, blueprints",1.0,0.9302325581395349,0.5947955390334573
MLP,With 1 set of fitnesses w\o blueprints,0.6153846153846154,0.6744186046511628,0.5858585858585859
 Random Forest,With 1 set of fitnesses w\o blueprints,0.6521739130434783,0.5232558139534884,0.5806451612903226
 Random Forest,With 1 set of fitnesses w\o weather,0.6231884057971014,0.5232558139534884,0.5590062111801242
Decision Tree,With 1 set of fitnesses w\o blueprints,0.6296296296296297,0.6744186046511628,0.5497630331753555
Decision Tree,"With 1 set of fitnesses w\o weather, blueprints",0.6206896551724138,0.6162790697674418,0.5353535353535352
 Random Forest,"With 1 set of fitnesses w\o weather, blueprints",0.5964912280701754,0.43023255813953487,0.4900662251655629
SVM,With 1 set of fitnesses,0.8461538461538461,0.32558139534883723,0.42748091603053434
SVM,With 1 set of fitnesses w\o blueprints,0.8571428571428571,0.23255813953488372,0.3305785123966942
SVM,"With 1 set of fitnesses w\o weather, blueprints",0.8571428571428571,0.13953488372093023,0.24
SVM,With 1 set of fitnesses w\o weather,0.8571428571428571,0.13953488372093023,0.24
